"InvID","PlotID","Invdate","Azimuth","Decay Factor","Size"
112,"0001-00506","2011-08-04 00:00:00",105,"B",16
113,"0001-00507","2011-08-06 00:00:00",58,"D",4
113,"0001-00507","2011-08-06 00:00:00",58,"B",3
113,"0001-00507","2011-08-06 00:00:00",118,"B",6
114,"0001-00601","2011-06-05 00:00:00",18,"D",5
114,"0001-00601","2011-06-05 00:00:00",78,"D",16
115,"0001-00602","2011-06-06 00:00:00",193,"B",4
115,"0001-00602","2011-06-06 00:00:00",253,"D",24
116,"0001-00603","2011-06-05 00:00:00",250,"C",4
116,"0001-00603","2011-06-05 00:00:00",310,"D",6
116,"0001-00603","2011-06-05 00:00:00",310,"D",11
116,"0001-00603","2011-06-05 00:00:00",310,"C",5
118,"0001-00605","2011-08-05 00:00:00",345,"B",7
118,"0001-00605","2011-08-05 00:00:00",345,"C",4
118,"0001-00605","2011-08-05 00:00:00",345,"C",4
