"InvID","PlotID","Treenum","Invdate","Species","Dbh","Theight","Crclass","Heightcb","Damdis","Folqual","Comment","Radgro10","Radgro5","Weight"
1,"0001-00201",48,"1999-06-17 00:00:00","PP",15.5,57,"S",37,"TL","T","WITNESS AZ227DIST31.8",-9,-9,10
1,"0001-00201",49,"1999-06-17 00:00:00","BO",18.3999996185303,84,"C",26,"L","N",NA,-9,-9,10
1,"0001-00201",51,"1999-06-17 00:00:00","IC",8.30000019073486,36,"S",19,"H","T",NA,-9,-9,10
1,"0001-00201",52,"1999-06-17 00:00:00","WF",9.10000038146973,38,"S",18,"H","N",NA,-9,-9,10
1,"0001-00201",53,"1999-06-17 00:00:00","IC",6.5,26,"S",16,"H","N",NA,-9,-9,10
1,"0001-00201",54,"1999-06-17 00:00:00","WF",14.5,50,"S",17,"H","N",NA,-9,-9,10
1,"0001-00201",55,"1999-06-17 00:00:00","GS",18.2999992370605,88,"C",41,"H","N",NA,-9,-9,10
1,"0001-00201",56,"1999-06-17 00:00:00","GS",4.59999990463257,21,"S",16,"L","T",NA,-9,-9,10
1,"0001-00201",57,"1999-06-17 00:00:00","GS",5,22,"S",19,"L","T",NA,-9,-9,10
1,"0001-00201",58,"1999-06-17 00:00:00","GS",11.1999998092651,69,"I",42,"L","T",NA,-9,-9,10
1,"0001-00201",59,"1999-06-17 00:00:00","GS",6.59999990463257,24,"S",19,"H","T",NA,-9,-9,10
1,"0001-00201",60,"1999-06-17 00:00:00","IC",2.09999990463257,8,"S",6,"H","N",NA,-9,-9,100
2,"0001-00202",1,"1998-06-18 00:00:00","IC",10.1000003814697,49,"S",15,"H","N","",-9,-9,10
2,"0001-00202",2,"1998-06-18 00:00:00","IC",7.69999980926514,40,"S",22,"H","N","",-9,-9,10
2,"0001-00202",4,"1998-06-18 00:00:00","IC",5.19999980926514,26,"S",23,"H","T","",-9,-9,10
2,"0001-00202",5,"1998-06-18 00:00:00","IC",11.1000003814697,43,"S",19,"T","N","",-9,-9,10
2,"0001-00202",6,"1998-06-18 00:00:00","IC",9.30000019073486,46,"S",13,"H","N","",-9,-9,10
2,"0001-00202",7,"1998-06-18 00:00:00","CO",7.90000009536743,34,"S",12,"L","N","",-9,-9,10
2,"0001-00202",8,"1998-06-18 00:00:00","IC",5.40000009536743,16,"S",6,"J","N","",-9,-9,10
2,"0001-00202",9,"1998-06-18 00:00:00","IC",25.2000007629395,102,"C",70,"H","N","",-9,-9,10
2,"0001-00202",10,"1998-06-18 00:00:00","GS",7.40000009536743,29,"S",6,"J","N","1/100; WITNESS AZ68DIST8.4'",-9,-9,10
2,"0001-00202",11,"1998-06-18 00:00:00","IC",7,29,"S",10,"H","N",NA,-9,-9,10
2,"0001-00202",12,"1998-06-18 00:00:00","CO",6.59999990463257,35,"S",6,"FT","N",NA,-9,-9,10
2,"0001-00202",13,"1998-06-18 00:00:00","CO",5.80000019073486,35,"S",6,"H","N",NA,-9,-9,10
2,"0001-00202",14,"1998-06-18 00:00:00","GS",22.3999996185303,74,"C",12,"H","N",NA,-9,-9,10
2,"0001-00202",15,"1998-06-18 00:00:00","IC",10.1999998092651,39,"S",15,"FR","N",NA,-9,-9,10
2,"0001-00202",16,"1998-06-18 00:00:00","IC",5.69999980926514,28,"S",17,"R","N",NA,-9,-9,10
2,"0001-00202",17,"1998-06-18 00:00:00","IC",6.40000009536743,26,"S",11,"H","N",NA,-9,-9,10
2,"0001-00202",18,"1998-06-18 00:00:00","IC",8.39999961853027,38,"I",9,"H","N","1/100; WITNESS AZ171DIST6.5'",-9,-9,10
2,"0001-00202",19,"1998-06-18 00:00:00","IC",10.3999996185303,32,"I",7,"H","N",NA,-9,-9,10
2,"0001-00202",20,"1998-06-18 00:00:00","CO",4,18,"S",6,"L","N",NA,-9,-9,100
2,"0001-00202",21,"1998-06-18 00:00:00","IC",10.3999996185303,46,"S",10,"J","N","1/100",-9,-9,10
2,"0001-00202",22,"1998-06-18 00:00:00","IC",16.2999992370605,79,"C",13,"H","N","1/100; WITNESS AZ260DIST10.4'",-9,-9,10
2,"0001-00202",23,"1998-06-18 00:00:00","IC",10.6999998092651,54,"I",17,"H","N",NA,-9,-9,10
2,"0001-00202",24,"1998-06-18 00:00:00","IC",9.69999980926514,48,"S",11,"H","N",NA,-9,-9,10
2,"0001-00202",25,"1998-06-18 00:00:00","IC",11.8999996185303,47,"I",30,"H","N",NA,-9,-9,10
2,"0001-00202",26,"1998-06-18 00:00:00","IC",12.6999998092651,60,"C",29,"H","N",NA,-9,-9,10
2,"0001-00202",27,"1998-06-18 00:00:00","WF",5.30000019073486,35,"S",21,"KL","N",NA,-9,-9,10
2,"0001-00202",28,"1998-06-18 00:00:00","IC",6,33,"S",29,"R","T",NA,-9,-9,10
2,"0001-00202",29,"1998-06-18 00:00:00","IC",6.09999990463257,38,"S",29,"PR","T",NA,-9,-9,10
2,"0001-00202",30,"1998-06-18 00:00:00","WF",7.5,55,"S",12,"J","N",NA,-9,-9,10
2,"0001-00202",31,"1998-06-18 00:00:00","WF",5.19999980926514,44,"S",35,"H","N",NA,-9,-9,10
2,"0001-00202",32,"1998-06-18 00:00:00","PP",27,109,"C",65,"K","N",NA,-9,-9,10
2,"0001-00202",33,"1998-06-18 00:00:00","WF",10.6999998092651,53,"I",26,"H","N",NA,-9,-9,10
