"InvID","PlotID","Invdate","Treenum","Species","dbh","Heartwood","Woodpeck","Barkcond","Theight","Cdeath","Yrdeath","Whard","Nesthole","SapWood","Weight","Comment"
85,"0001-01402","1999-09-01 00:00:00",3,"WF",27.6000003814697,"X","N",60,2,"R",9,2,0,"B",10,"HEART IS GONE"
85,"0001-01402","1999-09-01 00:00:00",12,"WF",34.7999992370605,"X","N",100,4,"R",9,3,0,"C",10,"HEART GONE"
89,"0001-00201","2011-08-08 00:00:00",10,"GS",23.1000003814697,"C","N",0,2,"D",4,-9,0,"C",10,""
90,"0001-00202","2011-08-08 00:00:00",22,"IC",22.3999996185303,"B","N",85,2,"R",4,-9,0,"C",10,""
95,"0001-00302","2011-08-07 00:00:00",15,"IC",20.5,"D","N",0,3,"D",4,-9,0,"E",10,""
96,"0001-00303","2011-08-08 00:00:00",3,"PP",19,"D","N",20,0,"D",4,-9,0,"D",100,""
100,"0001-00401","2011-08-06 00:00:00",11,"DW",9.89999961853027,"D","N",80,2,"P",4,-9,0,"E",100,""
102,"0001-00403","2011-08-07 00:00:00",2,"SP",25.6000003814697,"B","N",75,2,"N",9,-9,0,"C",10,"BROKE AT BASE"
102,"0001-00403","2011-08-07 00:00:00",19,"SP",26.6000003814697,"B","N",60,2,"N",9,-9,0,"C",10,""
104,"0001-00405","2011-08-07 00:00:00",15,"WF",13.1999998092651,"C","N",15,3,"D",4,-9,0,"C",100,"1/100"
105,"0001-00406","2011-08-07 00:00:00",2,"WF",30.2999992370605,"B","N",100,1,"R",9,-9,0,"B",10,""
105,"0001-00406","2011-08-07 00:00:00",9,"WF",21.7000007629395,"B","N",100,1,"R",4,-9,0,"B",10,""
105,"0001-00406","2011-08-07 00:00:00",15,"WF",22.7999992370605,"B","n",40,0,"R",4,-9,0,"C",10,""
105,"0001-00406","2011-08-07 00:00:00",27,"WF",21.6000003814697,"B","N",90,1,"R",4,-9,0,"B",10,""
106,"0001-00407","2011-08-06 00:00:00",12,"WF",11,"B","N",100,1,"R",4,-9,0,"B",100,"REMOVED FOR GROUP"
106,"0001-00407","2011-08-06 00:00:00",16,"WF",36,"D","N",100,2,"D",4,-9,0,"B",10,""
107,"0001-00501","2011-08-06 00:00:00",21,"IC",9.80000019073486,"A","N",80,4,"D",4,-9,0,"A",100,"1/100"
108,"0001-00502","2011-08-07 00:00:00",14,"IC",35.7999992370605,"E","N",0,0,"D",4,-9,0,"C",10,""
109,"0001-00503","2011-08-05 00:00:00",9,"BO",21.6000003814697,"C","N",10,1,"R",4,-9,0,"C",10,""
111,"0001-00505","2011-08-05 00:00:00",2,"IC",22.5,"B","N",100,1,"R",4,-9,0,"C",10,""
111,"0001-00505","2011-08-05 00:00:00",10,"IC",23.6000003814697,"B","N",100,1,"R",4,-9,1,"B",10,""
111,"0001-00505","2011-08-05 00:00:00",11,"IC",24.5,"A","N",60,4,"P",0,-9,0,"A",10,""
111,"0001-00505","2011-08-05 00:00:00",15,"IC",23.3999996185303,"A","N",100,1,"R",4,-9,0,"A",10,""
112,"0001-00506","2011-08-04 00:00:00",8,"IC",24.1000003814697,"A","N",100,1,"R",4,-9,0,"A",10,""
112,"0001-00506","2011-08-04 00:00:00",10,"IC",23,"B","N",35,1,"R",4,-9,0,"B",10,""
112,"0001-00506","2011-08-04 00:00:00",12,"SP",29.6000003814697,"B","N",25,1,"R",4,-9,0,"B",10,""
112,"0001-00506","2011-08-04 00:00:00",24,"SP",10.6999998092651,"E","Y",0,2,"R",4,-9,0,"E",100,""
113,"0001-00507","2011-08-06 00:00:00",2,"WF",36.7000007629395,"B","N",30,1,"R",4,-9,0,"C",10,"AZ42"
