"InvID","PlotID","Invdate","Azimuth","Species","To#24Inch","To1Inch","To3Inch","1FtDuff","1FtLitter","3FtDuff","3FtLitter","1FtFuel","2FtFuel","3FtFuel"
34,"0001-00606","1999-07-20 00:00:00",301,"GS",7,2,0,0,0.400000005960464,0,0.100000001490116,0.600000023841858,0.400000005960464,0
34,"0001-00606","1999-07-20 00:00:00",1,"GS",14,12,1,0,0.600000023841858,0,0.600000023841858,1.89999997615814,0.800000011920929,0.400000005960464
35,"0001-00607","1999-07-20 00:00:00",14,"MC",47,8,2,1.70000004768372,2.59999990463257,1.20000004768372,0.300000011920929,4.30000019073486,3.5,3.59999990463257
35,"0001-00607","1999-07-20 00:00:00",74,"MC",41,4,1,1.39999997615814,1.39999997615814,2.29999995231628,1.5,3.90000009536743,1.79999995231628,4.5
36,"0001-00701","1999-07-21 00:00:00",66,"MC",17,4,3,0,2.09999990463257,1.60000002384186,1.29999995231628,6.19999980926514,0.800000011920929,1.39999997615814
36,"0001-00701","1999-07-21 00:00:00",126,"MC",11,5,2,0.800000011920929,1.29999995231628,1.29999995231628,1.70000004768372,8.5,5.80000019073486,6.59999990463257
37,"0001-00702","1999-07-21 00:00:00",195,"MC",17,3,3,0.800000011920929,1.60000002384186,0,1.89999997615814,1.5,1.39999997615814,0.400000005960464
37,"0001-00702","1999-07-21 00:00:00",255,"MC",15,10,1,0.699999988079071,1.20000004768372,0.5,1.10000002384186,0.5,0.699999988079071,0.200000002980232
38,"0001-00703","1999-07-22 00:00:00",355,"GS",11,6,1,0.899999976158142,1.89999997615814,0.800000011920929,1.20000004768372,1.29999995231628,1.20000004768372,2.20000004768372
38,"0001-00703","1999-07-22 00:00:00",55,"GS",17,3,4,1.70000004768372,1.60000002384186,4.09999990463257,2.29999995231628,2.20000004768372,2.29999995231628,2.59999990463257
39,"0001-00704","1999-07-22 00:00:00",181,"MC",8,6,2,0.699999988079071,1.5,1.29999995231628,1.20000004768372,0.899999976158142,1.70000004768372,0.400000005960464
39,"0001-00704","1999-07-22 00:00:00",241,"MC",13,3,4,0,0.699999988079071,0,1.60000002384186,0.600000023841858,1.20000004768372,1.60000002384186
40,"0001-00706","1999-07-22 00:00:00",43,"MC",17,6,0,0,0.899999976158142,0,4.30000019073486,0.699999988079071,0.800000011920929,3.29999995231628
40,"0001-00706","1999-07-22 00:00:00",103,"MC",12,1,0,0,0,0,0.5,0,0.600000023841858,0.400000005960464
41,"0001-00707","1999-07-23 00:00:00",71,"MC",10,13,0,2.40000009536743,1.39999997615814,1.20000004768372,3.09999990463257,0.899999976158142,1.39999997615814,3.29999995231628
41,"0001-00707","1999-07-23 00:00:00",131,"MC",12,7,2,1.75,1.25,2,1.75,2,2.5,1
42,"0001-00801","1999-07-24 00:00:00",145,"MC",38,2,5,2.40000009536743,1.70000004768372,2.09999990463257,0,6,0,1.60000002384186
42,"0001-00801","1999-07-24 00:00:00",205,"MC",25,7,1,1.70000004768372,0.600000023841858,1.5,3.70000004768372,0.600000023841858,1.10000002384186,1.79999995231628
43,"0001-00802","1999-07-24 00:00:00",22,"MC",36,15,4,4,1.5,2.5,1.60000002384186,6.19999980926514,5.30000019073486,9.69999980926514
43,"0001-00802","1999-07-24 00:00:00",82,"MC",17,4,2,1.70000004768372,1.70000004768372,2.5,1.29999995231628,6,2.40000009536743,0.800000011920929
44,"0001-00803","1999-07-25 00:00:00",151,"MC",23,6,1,0.699999988079071,1.60000002384186,1.39999997615814,2.70000004768372,1.89999997615814,2.5,1.89999997615814
44,"0001-00803","1999-07-25 00:00:00",211,"MC",55,11,2,1.20000004768372,1.89999997615814,1.79999995231628,2.29999995231628,2.29999995231628,1.70000004768372,2
45,"0001-00804","1999-07-25 00:00:00",128,"MC",14,3,3,2.5,1.39999997615814,0,1.89999997615814,1,6.40000009536743,6.19999980926514
45,"0001-00804","1999-07-25 00:00:00",188,"MC",23,3,2,0.699999988079071,1.60000002384186,0,0.699999988079071,3.5,1.10000002384186,4.5
46,"0001-00805","1999-07-25 00:00:00",196,"MC",13,3,4,0,1.10000002384186,0.699999988079071,3.20000004768372,0.699999988079071,1.29999995231628,1.60000002384186
46,"0001-00805","1999-07-25 00:00:00",256,"MC",10,8,3,0,2.79999995231628,0.300000011920929,2.09999990463257,1.60000002384186,1.89999997615814,1.70000004768372
47,"0001-00806","1999-07-25 00:00:00",226,"MC",26,22,2,0,0,3,2.29999995231628,21,6,3.79999995231628
47,"0001-00806","1999-07-25 00:00:00",286,"MC",14,14,11,3.20000004768372,0.800000011920929,0,0,32,30,25
48,"0001-00807","1999-07-26 00:00:00",22,"MC",1,1,2,2.40000009536743,0.800000011920929,0.600000023841858,1.20000004768372,0.800000011920929,0.800000011920929,1.39999997615814
48,"0001-00807","1999-07-26 00:00:00",82,"MC",0,2,0,5,1.10000002384186,0.200000002980232,1.10000002384186,1,0.699999988079071,1.10000002384186
49,"0001-00808","1999-07-26 00:00:00",66,"MC",27,5,2,1.70000004768372,7,1.20000004768372,1.20000004768372,47,50,40
49,"0001-00808","1999-07-26 00:00:00",126,"MC",19,4,0,1.79999995231628,1,0,0.400000005960464,65,56,41
50,"0001-00809","1999-07-27 00:00:00",350,"MC",18,4,0,0.300000011920929,0.400000005960464,0.400000005960464,0.300000011920929,0.800000011920929,0.100000001490116,0.200000002980232
50,"0001-00809","1999-07-27 00:00:00",50,"MC",8,2,1,0.200000002980232,0.300000011920929,0.200000002980232,0.300000011920929,0.300000011920929,0.400000005960464,0.200000002980232
51,"0001-00810","1999-07-27 00:00:00",228,"MC",42,8,4,0.600000023841858,0.400000005960464,0.5,0.400000005960464,0.5,0.400000005960464,0.600000023841858
51,"0001-00810","1999-07-27 00:00:00",288,"MC",65,25,10,0,1.20000004768372,0.5,1.89999997615814,1.20000004768372,1.39999997615814,1.79999995231628
52,"0001-00901","1999-08-10 00:00:00",220,"GS",7,0,0,0,0.600000023841858,0,1.20000004768372,25,33,29
52,"0001-00901","1999-08-10 00:00:00",280,"GS",3,0,2,0,0,0,0,17,17,15
53,"0001-00902","1999-08-09 00:00:00",244,"MC",75,18,4,2.20000004768372,2.40000009536743,2.40000009536743,3.59999990463257,3,68.4000015258789,32.4000015258789
53,"0001-00902","1999-08-09 00:00:00",304,"MC",29,15,2,3.59999990463257,3.40000009536743,2.20000004768372,2.5,3,13,5
54,"0001-00903","1999-08-15 00:00:00",333,"BO",35,9,5,1.10000002384186,1.60000002384186,1.20000004768372,3.29999995231628,7.19999980926514,3.70000004768372,3.5
54,"0001-00903","1999-08-15 00:00:00",33,"BO",18,3,3,1.29999995231628,1.70000004768372,1.39999997615814,1.20000004768372,2.5,1.5,1.39999997615814
55,"0001-00904","1999-08-09 00:00:00",184,"MC",102,25,1,2,6,3,4,6,8,5
55,"0001-00904","1999-08-09 00:00:00",244,"MC",70,12,4,2,3,2,3,3,5,4
