"InvID","Plotid","Plotnum","InvYear","Invdate","Plotsize","Crew","Crew#","InvenType","TravelTime","TotalTime","Canopy","Pcomments"
7359,"1140-00004",4,"2016","2016-08-16 00:00:00",0.100000001490116,"IM ZM KB",3,"N",0.200000002980232,1,72,""
7360,"1140-00005",5,"2016","2016-08-16 00:00:00",0.100000001490116,"ZM KB IM",3,"N",0.100000001490116,1.70000004768372,80,""
7361,"1140-00006",6,"2016","2016-08-17 00:00:00",0.100000001490116,"BC KB",2,"N",0.200000002980232,1.10000002384186,92,""
7362,"1140-00007",7,"2016","2016-08-16 00:00:00",0.100000001490116,"ZM IM KB",3,"N",0.100000001490116,1,76,""
7363,"1140-00008",8,"2016","2016-08-17 00:00:00",0.100000001490116,"ZM IM",2,"N",0.200000002980232,1.5,80,""
7364,"1140-00009",9,"2016","2016-08-16 00:00:00",0.100000001490116,"ZM IM KB",3,"N",0.200000002980232,1.5,92,""
7365,"1140-00010",10,"2016","2016-08-17 00:00:00",0.100000001490116,"BC KB",2,"N",0.600000023841858,1,88,""
7366,"1140-00011",11,"2016","2016-08-17 00:00:00",0.100000001490116,"IM ZM",2,"N",0.200000002980232,1.70000004768372,92,""
7367,"1140-00012",12,"2016","2016-08-11 00:00:00",0.100000001490116,"ZM AB IM",3,"N",0.300000011920929,1.79999995231628,80,""
7368,"1140-00013",13,"2016","2016-08-11 00:00:00",0.100000001490116,"ZM IM AB",3,"N",0.200000002980232,1.5,84,""
7369,"1140-00014",14,"2016","2016-08-16 00:00:00",0.100000001490116,"BC HH",2,"N",0.5,1.5,80,""
7370,"1140-00015",15,"2016","2016-07-15 00:00:00",0.100000001490116,"ZM IM KB BC HH",5,"N",0.5,1,80,"TAN OAK REGEN COUNTED AS SHRUBS"
7371,"0270-00001",1,"2016","2012-06-15 00:00:00",0.100000001490116,"XX",0,"N",0,0,36,"NO CHANGE IN 2013 HARVEST;2013 DATA NO CHANGE FROM 2015 MASTICATION"
7372,"0270-00003",3,"2016","2013-09-30 00:00:00",0.100000001490116,"AT DC",2,"N",0.400000005960464,1020,52,"WITNESS AZ 249 D 48.3 SP DIAM 36;2013 DATA NO CHANGE FROM 2015 MASTICATION"
7373,"0270-00005",5,"2016","2013-09-30 00:00:00",0.100000001490116,"AT DC",2,"N",0.200000002980232,0.75,52,"2013 DATA NO CHANGE FROM 2015 MASTICATION "
7374,"0270-00008",8,"2016","2016-06-17 00:00:00",0.100000001490116,"BC IM",2,"N",0.100000001490116,0.699999988079071,56,"2013 DATA UPDATED AFTER 2015 MASTICATION"
7376,"0270-00015",15,"2016","2012-06-11 00:00:00",0.100000001490116,"XX",0,"N",0,0,44,"WITNESS AZ 44 D 10.8 PP DIAM 3.9;2013 DATA NO CHANGE FROM 2015 MASTICATION"
7377,"0270-00017",17,"2016","2013-08-20 00:00:00",0.100000001490116,"CM DC",2,"N",0.100000001490116,0.400000005960464,84,"2013 DATA NO CHANGE FROM 2015 MASTICATION"
7378,"0270-00019",19,"2016","2012-06-11 00:00:00",10,"XX",0,"N",0,0,88,"WITNESS GS DBH4.3 DIST9.1 AZ237;2013 DATA NO CHANGE FROM 2015 MASTICATION"
7379,"0270-00021",21,"2016","2016-06-17 00:00:00",0.100000001490116,"IM BC",2,"N",0.300000011920929,0.75,48,"2013 DATA UPDATED AFTER 2015 MASTICATION"
7380,"0270-00024",24,"2016","2013-08-20 00:00:00",0.100000001490116,"CM DC",2,"N",0.100000001490116,0.5,64,"LAST PLOT CENTER TAG SAID 17 NOT 24;2013 DATA NO CHANGE FROM 2015 MASTICATION"
7381,"0270-00025",25,"2016","2013-08-20 00:00:00",0.100000001490116,"CM DC",2,"N",0.100000001490116,1,68,"REESTABLISHED PLOT CETER; NO SHRUBS OR FORBS;2013 DATA NO CHANGE FROM 2015 MASTICATION"
7382,"0270-00026",26,"2016","2013-08-20 00:00:00",0.100000001490116,"CM DC",2,"N",0.200000002980232,0.5,94,"2013 DATA NO CHANGE FROM 2015 MASTICATION"
