"InvID","PlotID","Invdate","Treenum","Species","dbh","Heartwood","Woodpeck","Barkcond","Theight","Cdeath","Yrdeath","Whard","Nesthole","SapWood","Weight","Comment"
5400,"0621-00001","2007-08-14 00:00:00",28,"WF",17.2000007629395,"C","N",0,1,"D",4,-9,1,"C",100,""
5402,"0623-00002","2007-08-10 00:00:00",1,"WF",26.2999992370605,"A","N",30,2,"R",4,-9,0,"C",10,""
5402,"0623-00002","2007-08-10 00:00:00",4,"WF",34.5,"A","N",75,2,"R",4,-9,0,"B",10,""
5402,"0623-00002","2007-08-10 00:00:00",9,"WF",10.3000001907349,"A","N",50,1,"R",4,-9,0,"B",100,""
5403,"0623-00015","2007-08-10 00:00:00",1,"WF",23.1000003814697,"B","N",30,3,"R",4,-9,0,"B",10,""
5403,"0623-00015","2007-08-10 00:00:00",2,"IC",33,"B","N",75,2,"R",4,-9,0,"B",10,"WIT AZ 28   DIST 10.9"
5403,"0623-00015","2007-08-10 00:00:00",3,"DF",41.0999984741211,"C","N",5,2,"R",4,-9,0,"C",10,""
5403,"0623-00015","2007-08-10 00:00:00",5,"IC",36.5,"A","N",60,3,"R",4,-9,0,"B",10,"WIT AZ 176   DIST 18.7"
5403,"0623-00015","2007-08-10 00:00:00",9,"IC",38.9000015258789,"B","N",75,2,"R",4,-9,0,"B",10,""
5404,"0623-00016","2007-08-10 00:00:00",2,"IC",23.8999996185303,"A","N",85,1,"R",4,-9,0,"B",10,""
5404,"0623-00016","2007-08-10 00:00:00",3,"IC",20.3999996185303,"A","N",55,1,"R",4,-9,0,"B",10,""
5404,"0623-00016","2007-08-10 00:00:00",4,"WF",22.1000003814697,"A","N",75,1,"R",4,-9,0,"B",10,""
5404,"0623-00016","2007-08-10 00:00:00",5,"IC",33.5,"A","N",95,1,"R",4,-9,0,"B",10,""
5404,"0623-00016","2007-08-10 00:00:00",6,"DF",47.5999984741211,"A","N",95,2,"R",4,-9,0,"B",10,"WIT AZ 200 DIST 13.6"
5404,"0623-00016","2007-08-10 00:00:00",8,"WF",27.7000007629395,"A","N",30,2,"R",4,-9,0,"B",10,"WIT AZ 304  DIST 29.7"
5404,"0623-00016","2007-08-10 00:00:00",9,"IC",27.5,"B","N",60,1,"R",4,-9,0,"B",10,""
5405,"0624-00003","2007-08-09 00:00:00",4,"WF",15,"D","N",20,1,"D",4,-9,0,"D",100,""
5405,"0624-00003","2007-08-09 00:00:00",5,"WF",22,"E","N",25,1,"D",4,-9,0,"E",10,""
5405,"0624-00003","2007-08-09 00:00:00",8,"IC",13.1000003814697,"C","N",20,2,"D",4,-9,0,"B",100,""
5405,"0624-00003","2007-08-09 00:00:00",10,"IC",12,"B","N",50,1,"D",4,-9,0,"B",100,""
5405,"0624-00003","2007-08-09 00:00:00",28,"WF",22,"E","N",25,1,"D",4,-9,0,"E",10,""
5405,"0624-00003","2007-08-09 00:00:00",29,"PP",13.1000003814697,"E","N",60,1,"D",4,-9,0,"E",100,""
