"InvID","PlotID","Invdate","Azimuth","Decay Factor","Size"
6615,"0180-00023","2009-06-07 00:00:00",60,"D",18
6615,"0180-00023","2009-06-07 00:00:00",60,"B",4
6617,"0190-00010","2009-07-22 00:00:00",324,"B",4
6617,"0190-00010","2009-07-22 00:00:00",324,"B",5
6618,"0190-00020","2009-07-23 00:00:00",319,"B",7
6619,"0190-00024","2009-07-22 00:00:00",6,"D",4
6619,"0190-00024","2009-07-22 00:00:00",147,"B",5
6619,"0190-00024","2009-07-22 00:00:00",147,"B",4
6619,"0190-00024","2009-07-22 00:00:00",147,"D",5
6619,"0190-00024","2009-07-22 00:00:00",147,"D",8
6619,"0190-00024","2009-07-22 00:00:00",147,"D",4
6619,"0190-00024","2009-07-22 00:00:00",147,"D",3
6620,"0190-00025","2009-07-23 00:00:00",51,"B",6
6620,"0190-00025","2009-07-23 00:00:00",51,"D",8
6620,"0190-00025","2009-07-23 00:00:00",51,"D",7
6620,"0190-00025","2009-07-23 00:00:00",51,"B",4
6620,"0190-00025","2009-07-23 00:00:00",51,"B",8
6620,"0190-00025","2009-07-23 00:00:00",311,"B",8
6620,"0190-00025","2009-07-23 00:00:00",311,"B",5
6621,"0190-00026","2009-07-23 00:00:00",17,"B",4
6621,"0190-00026","2009-07-23 00:00:00",89,"B",3
6621,"0190-00026","2009-07-23 00:00:00",89,"B",4
6621,"0190-00026","2009-07-23 00:00:00",89,"B",8
6623,"0240-00003","2009-07-09 00:00:00",36,"B",4
6623,"0240-00003","2009-07-09 00:00:00",36,"D",5
6623,"0240-00003","2009-07-09 00:00:00",36,"B",10
6623,"0240-00003","2009-07-09 00:00:00",138,"B",6
6623,"0240-00003","2009-07-09 00:00:00",138,"B",10
6625,"0240-00007","2009-07-10 00:00:00",318,"B",10
6625,"0240-00007","2009-07-10 00:00:00",318,"B",4
6625,"0240-00007","2009-07-10 00:00:00",71,"B",5
6626,"0240-00009","2009-07-10 00:00:00",5,"B",4
6626,"0240-00009","2009-07-10 00:00:00",147,"B",6
6627,"0240-00022","2009-07-09 00:00:00",311,"B",4
6628,"0240-00026","2009-06-20 00:00:00",88,"B",4
6628,"0240-00026","2009-06-20 00:00:00",88,"B",3
6628,"0240-00026","2009-06-20 00:00:00",88,"D",4
6628,"0240-00026","2009-06-20 00:00:00",88,"B",11
6629,"0350-00002","2009-07-08 00:00:00",138,"B",3
6629,"0350-00002","2009-07-08 00:00:00",138,"B",4
6630,"0350-00003","2009-07-07 00:00:00",303,"B",5
6630,"0350-00003","2009-07-07 00:00:00",303,"B",4
6630,"0350-00003","2009-07-07 00:00:00",303,"B",3
6630,"0350-00003","2009-07-07 00:00:00",303,"B",3
6631,"0350-00005","2009-07-08 00:00:00",71,"B",6
6631,"0350-00005","2009-07-08 00:00:00",296,"B",5
6631,"0350-00005","2009-07-08 00:00:00",296,"B",6
6632,"0350-00008","2009-07-09 00:00:00",166,"B",4
6633,"0490-00004","2009-08-17 00:00:00",37,"B",4
6633,"0490-00004","2009-08-17 00:00:00",138,"B",4
6635,"0490-00018","2009-08-17 00:00:00",345,"B",7
6635,"0490-00018","2009-08-17 00:00:00",345,"B",17
6636,"0490-00020","2009-07-27 00:00:00",6,"B",8
6636,"0490-00020","2009-07-27 00:00:00",147,"B",4
6637,"0490-00033","2009-07-27 00:00:00",51,"B",6
6637,"0490-00033","2009-07-27 00:00:00",311,"B",6
6638,"0490-00035","2009-08-17 00:00:00",51,"B",6
6638,"0490-00035","2009-08-17 00:00:00",311,"B",6
6639,"0490-00041","2009-08-17 00:00:00",13,"D",9
6639,"0490-00041","2009-08-17 00:00:00",13,"B",5
6639,"0490-00041","2009-08-17 00:00:00",13,"D",4
6639,"0490-00041","2009-08-17 00:00:00",60,"B",4
6640,"0490-00042","2009-07-26 00:00:00",7,"B",13
