"InvID","PlotID","Treenum","Invdate","Species","Dbh","Radgro10","Radgro5","Theight","Crclass","Heightcb","Damdis","Folqual","Comment","Weight"
2879,"0110-50144",1,"1996-07-04 00:00:00","PP",6.09999990463257,-9,-9,21,"X",-9,"X","X","",100
2880,"0110-50143",1,"1996-07-03 00:00:00","PP",5.69999980926514,-9,-9,20,"X",-9,"X","X","",100
2880,"0110-50143",2,"1996-07-03 00:00:00","PP",6.90000009536743,-9,-9,21,"X",-9,"X","X","",100
2880,"0110-50143",3,"1996-07-03 00:00:00","PP",6.19999980926514,-9,-9,24,"X",-9,"X","X","",100
2880,"0110-50143",4,"1996-07-03 00:00:00","PP",5.80000019073486,-9,-9,23,"X",-9,"X","X","",100
2881,"0110-50142",1,"1996-07-04 00:00:00","PP",5.19999980926514,-9,-9,19,"X",-9,"X","X","",100
2881,"0110-50142",2,"1996-07-04 00:00:00","PP",5.40000009536743,-9,-9,23,"X",-9,"X","X","",100
2881,"0110-50142",3,"1996-07-04 00:00:00","PP",5.40000009536743,-9,-9,23,"X",-9,"X","X","",100
3612,"0010-50941",1,"2000-08-31 00:00:00","PP",6.09999990463257,-9,-9,24,"D",1,"F","N","1/100",100
2882,"0110-50141",1,"1996-07-03 00:00:00","PP",5.5,-9,-9,21,"X",-9,"X","X","",100
2882,"0110-50141",2,"1996-07-03 00:00:00","PP",4.59999990463257,-9,-9,15,"X",-9,"X","X","",100
2882,"0110-50141",3,"1996-07-03 00:00:00","PP",5.69999980926514,-9,-9,22,"X",-9,"X","X","",100
2882,"0110-50141",4,"1996-07-03 00:00:00","PP",5.30000019073486,-9,-9,18,"X",-9,"X","X","",100
2883,"0110-50131",1,"1996-07-03 00:00:00","X",5.69999980926514,-9,-9,14,"X",-9,"X","X","",100
2884,"0110-50111",1,"1996-07-04 00:00:00","PP",6,-9,-9,24,"X",-9,"X","X","",100
2884,"0110-50111",2,"1996-07-04 00:00:00","PP",7,-9,-9,27,"X",-9,"X","X","",100
2886,"0110-50121",1,"1996-07-04 00:00:00","PP",5.40000009536743,-9,-9,19,"X",-9,"X","X","",100
2887,"0410-50211",1,"1996-07-18 00:00:00","IC",17.1000003814697,-9,-9,44,"X",-9,"X","X","",100
2889,"0410-50411",1,"1996-07-16 00:00:00","IC",6.59999990463257,-9,-9,22,"X",-9,"X","X","",100
2891,"0380-50141",1,"1996-06-21 00:00:00","GS",8.69999980926514,-9,-9,24,"X",-9,"X","X","",100
