"InvID","PlotID","Invdate","Species","Age","Comment"
4061,"0461-00022","1997-07-23 00:00:00","R","1",NA
2424,"0250-00011","1995-11-14 00:00:00","B","1",NA
2424,"0250-00011","1995-11-14 00:00:00","O","1",NA
2433,"0310-00025","1995-08-07 00:00:00","D","1",NA
2435,"0320-00005","1995-07-17 00:00:00","D","1",NA
2453,"0481-00013","1995-05-09 00:00:00","D","2",NA
2453,"0481-00013","1995-05-09 00:00:00","D","1",NA
2454,"0481-00018","1995-05-11 00:00:00","D","1",NA
2454,"0481-00018","1995-05-11 00:00:00","D","2",NA
2454,"0481-00018","1995-05-11 00:00:00","R","1",NA
2454,"0481-00018","1995-05-11 00:00:00","R","2",NA
2455,"0481-00021","1995-05-03 00:00:00","D","1",NA
2455,"0481-00021","1995-05-03 00:00:00","D","2",NA
2456,"0481-00022","1995-05-04 00:00:00","D","1",NA
2456,"0481-00022","1995-05-04 00:00:00","R","1",NA
2456,"0481-00022","1995-05-04 00:00:00","D","2",NA
2457,"0481-00023","1995-05-04 00:00:00","D","2",NA
2459,"0481-00025","1995-05-10 00:00:00","R","1",NA
2459,"0481-00025","1995-05-10 00:00:00","D","1",NA
2460,"0481-00026","1995-05-10 00:00:00","D","1",NA
2460,"0481-00026","1995-05-10 00:00:00","D","2",NA
2461,"0481-00027","1995-05-10 00:00:00","D","2",NA
2462,"0481-00028","1995-05-10 00:00:00","D","2",NA
2463,"0481-00031","1995-05-03 00:00:00","R","1",NA
2463,"0481-00031","1995-05-03 00:00:00","D","2",NA
2464,"0481-00032","1995-05-02 00:00:00","D","1",NA
2464,"0481-00032","1995-05-02 00:00:00","D","2",NA
2466,"0481-00034","1995-05-16 00:00:00","D","1",NA
2466,"0481-00034","1995-05-16 00:00:00","R","1",NA
2466,"0481-00034","1995-05-16 00:00:00","O","1","(COYOTE?)"
2467,"0481-00035","1995-05-12 00:00:00","D","2",NA
2467,"0481-00035","1995-05-12 00:00:00","D","1",NA
2469,"0481-00037","1995-05-12 00:00:00","D","1",NA
2470,"0481-00038","1995-05-11 00:00:00","R","1",NA
2470,"0481-00038","1995-05-11 00:00:00","D","1",NA
2480,"0562-00001","1995-07-10 00:00:00","O","2",NA
2482,"0562-00003","1995-06-22 00:00:00","D","1",NA
2482,"0562-00003","1995-06-22 00:00:00","D","2",NA
2483,"0562-00004","1995-06-23 00:00:00","R","2",NA
2485,"0600-00009","1995-08-14 00:00:00","D","2",NA
