"InvID","PlotID","Invdate","DFseed","PPseed","SPseed","WFseed","ICseed","BOseed","GSseed","CHseed","MDseed","TOseed","YWseed","ALseed"
2048,"0090-00005","1994-06-08 00:00:00",0,0,0,1,0,1,0,0,0,0,0,0
2049,"0091-00006","1994-06-08 00:00:00",0,0,0,1,0,6,0,0,0,0,0,0
2050,"0091-00007","1994-06-08 00:00:00",2,0,0,4,2,97,0,0,0,1,0,0
2051,"0090-00008","1994-06-09 00:00:00",0,0,1,1,3,84,0,0,0,2,0,0
2052,"0100-00001","1994-08-31 00:00:00",1,9,0,0,0,1,0,0,0,0,0,0
2053,"0100-00002","1994-08-30 00:00:00",0,4,0,0,1,35,0,0,0,0,0,0
2054,"0100-00003","1994-08-29 00:00:00",3,1,0,0,2,29,0,0,0,0,0,0
2055,"0100-00004","1994-08-23 00:00:00",1,28,0,1,6,0,0,0,0,0,0,0
2056,"0100-00005","1994-08-23 00:00:00",2,1,2,2,7,27,0,0,0,0,0,0
2057,"0100-00006","1994-08-25 00:00:00",0,7,0,1,2,0,0,0,0,0,0,0
2058,"0100-00007","1994-08-26 00:00:00",2,0,0,0,0,38,0,0,0,0,0,0
2059,"0100-00008","1994-08-26 00:00:00",3,3,0,31,0,1,0,0,0,0,0,0
2060,"0100-00009","1994-08-29 00:00:00",0,6,0,0,0,7,0,0,0,0,0,0
2061,"0110-00001","1994-06-24 00:00:00",10,3,0,17,19,22,0,0,0,2,0,0
2062,"0110-00002","1994-06-24 00:00:00",14,0,0,5,1,19,0,0,0,2,0,0
2063,"0110-00003","1994-06-24 00:00:00",0,4,0,2,2,41,0,0,0,0,0,0
2064,"0110-00004","1994-06-27 00:00:00",4,0,1,6,1,4,0,0,0,2,0,0
2065,"0110-00005","1994-06-27 00:00:00",0,0,0,3,1,9,0,0,0,0,0,0
2066,"0110-00006","1994-06-29 00:00:00",3,0,1,3,0,6,0,0,0,24,0,0
2067,"0110-00007","1994-06-27 00:00:00",0,0,1,4,6,0,0,0,0,8,0,0
2068,"0110-00008","1994-06-28 00:00:00",2,7,6,6,6,8,0,0,0,3,0,0
2069,"0110-00009","1994-06-29 00:00:00",0,0,0,0,0,153,0,0,0,1,0,0
2070,"0110-00010","1994-06-29 00:00:00",1,0,1,3,0,7,0,0,0,11,0,0
2071,"0110-00011","1994-06-28 00:00:00",1,1,1,1,0,9,0,0,0,0,0,0
2072,"0110-00012","1994-06-28 00:00:00",5,36,6,5,3,1,0,0,0,1,0,0
2073,"0110-00013","1994-07-18 00:00:00",0,76,0,1,0,0,0,0,0,0,0,0
2079,"0123-00003","1994-10-05 00:00:00",1,2,0,7,0,0,0,0,0,0,0,0
2074,"0123-00004","1994-10-05 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0
2075,"0123-00006","1994-10-07 00:00:00",0,0,1,0,3,0,0,0,0,0,0,0
2076,"0123-00007","1994-10-07 00:00:00",0,0,0,0,4,1,0,0,0,0,0,0
2077,"0123-00001","1994-09-23 00:00:00",0,0,0,6,1,0,0,0,0,0,0,0
2078,"0123-00002","1994-09-30 00:00:00",15,14,4,27,21,0,0,0,0,0,0,0
2080,"0123-00005","1994-09-23 00:00:00",0,0,0,0,0,26,0,0,0,0,0,0
2081,"0123-00008","1994-10-10 00:00:00",4,1,1,8,4,6,0,0,0,0,0,0
2082,"0123-00021","1994-06-10 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0
2083,"0123-00022","1994-06-10 00:00:00",0,0,0,14,0,1,0,0,0,5,0,0
2084,"0123-00023","1994-06-09 00:00:00",0,0,0,1,0,0,0,0,0,0,0,0
2085,"0123-00027","1994-06-13 00:00:00",3,0,4,5,0,0,0,0,0,0,0,0
2086,"0123-00028","1994-06-10 00:00:00",1,1,3,2,0,0,0,0,0,4,0,0
2087,"0123-00029","1994-06-13 00:00:00",2,6,0,1,4,0,0,0,0,5,0,0
2088,"0123-00010","1994-06-14 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0
2089,"0123-00011","1994-06-16 00:00:00",0,0,0,4,0,0,0,0,0,9,1,0
2090,"0123-00012","1994-06-15 00:00:00",0,0,2,28,0,0,0,0,0,0,0,0
2091,"0123-00013","1994-06-15 00:00:00",0,0,0,0,4,0,0,0,0,3,0,0
2092,"0160-00001","1994-05-05 00:00:00",0,0,0,1,2,0,0,0,0,0,0,0
2093,"0160-00003","1994-05-04 00:00:00",1,0,3,2,1,2,0,0,0,0,0,0
2094,"0160-00010","1994-05-03 00:00:00",1,0,0,2,2,0,0,0,0,5,0,0
2095,"0160-00012","1994-05-25 00:00:00",0,0,1,0,0,7,0,0,0,0,0,0
2096,"0160-00015","1994-05-25 00:00:00",0,0,0,0,1,1,0,0,0,0,0,0
2097,"0160-00017","1994-05-26 00:00:00",0,0,0,5,4,11,0,0,0,0,0,0
2098,"0160-00019","1994-04-29 00:00:00",1,0,0,8,2,0,0,0,0,0,0,0
2099,"0160-00021","1994-06-01 00:00:00",0,0,0,0,1,36,0,0,0,0,0,0
2100,"0160-00022","1994-05-27 00:00:00",1,0,0,5,2,18,0,0,0,0,0,0
2101,"0160-00024","1994-06-01 00:00:00",0,0,1,3,1,15,0,0,0,0,0,0
2102,"0160-00025","1994-05-02 00:00:00",0,2,4,1,5,0,0,0,0,0,0,0
2103,"0160-00026","1994-05-24 00:00:00",0,0,0,3,0,6,0,0,0,0,0,0
2105,"0160-00027","1994-05-03 00:00:00",0,0,0,0,1,0,0,0,0,3,0,0
2106,"0160-00028","1994-05-25 00:00:00",1,0,2,29,9,4,0,0,0,1,0,0
2107,"0160-00029","1994-05-23 00:00:00",1,0,0,1,2,1,0,0,0,0,0,0
2108,"0160-00030","1994-05-11 00:00:00",1,0,1,4,0,0,0,0,0,0,0,0
2109,"0170-00001","1994-07-21 00:00:00",0,5,1,2,0,5,0,0,0,0,0,0
2110,"0170-00004","1994-07-21 00:00:00",0,0,0,7,1,9,0,0,0,0,0,0
2111,"0170-00005","1994-07-20 00:00:00",0,0,3,0,11,7,0,0,0,0,0,0
2112,"0170-00006","1994-07-20 00:00:00",2,0,1,14,1,8,0,0,0,0,0,0
2113,"0170-00007","1994-07-19 00:00:00",0,1,2,1,1,12,0,0,0,0,0,0
2114,"0170-00009","1994-07-15 00:00:00",0,0,0,6,26,0,0,0,0,0,1,0
2115,"0170-00010","1994-07-19 00:00:00",2,1,3,2,1,15,0,0,0,1,0,0
2116,"0170-00011","1994-07-19 00:00:00",0,0,0,0,0,2,0,0,0,0,0,0
2117,"0170-00012","1994-07-18 00:00:00",0,0,0,1,0,4,0,0,0,0,0,0
2118,"0170-00013","1994-07-17 00:00:00",0,0,1,4,5,6,0,0,0,0,0,0
2119,"0171-00002","1994-07-13 00:00:00",0,0,0,1,0,0,0,0,0,0,0,0
2120,"0171-00003","1994-07-13 00:00:00",0,0,0,0,1,1,0,0,0,0,0,0
2121,"0171-00008","1994-07-14 00:00:00",0,0,0,0,11,0,0,0,0,0,0,0
2122,"0171-00014","1994-07-15 00:00:00",0,0,0,1,3,0,0,0,0,0,0,0
2123,"0180-00002","1994-07-19 00:00:00",3,15,7,3,1,20,0,0,0,0,0,0
2124,"0180-00004","1994-07-15 00:00:00",3,2,1,1,3,131,0,0,0,0,0,0
2125,"0180-00006","1994-07-19 00:00:00",4,2,5,3,16,68,0,0,0,0,0,0
2126,"0180-00008","1994-07-20 00:00:00",0,0,2,3,2,22,0,1,0,0,0,0
2127,"0180-00010","1994-07-20 00:00:00",0,0,1,6,3,14,0,0,0,0,0,0
2128,"0180-00013","1994-07-18 00:00:00",0,0,1,2,24,143,0,0,0,0,0,0
2129,"0180-00018","1994-07-20 00:00:00",0,0,0,1,7,21,0,0,0,0,0,0
2130,"0180-00020","1994-07-21 00:00:00",0,0,0,3,8,17,0,0,0,0,0,0
2131,"0180-00022","1994-07-21 00:00:00",3,18,0,13,21,10,0,0,0,0,0,0
2132,"0180-00023","1994-07-22 00:00:00",0,2,4,4,66,7,0,0,0,0,0,0
2133,"0180-00024","1994-07-19 00:00:00",9,0,0,30,3,26,0,0,0,0,0,0
2134,"0190-00028","1994-10-06 00:00:00",0,0,0,0,0,0,0,0,0,28,0,0
2135,"0200-00001","1994-10-06 00:00:00",0,0,0,3,1,0,0,0,0,30,0,0
2136,"0220-00001","1994-09-01 00:00:00",0,0,2,1,0,0,0,0,0,0,0,0
2137,"0220-00002","1994-08-31 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0
2138,"0220-00003","1994-08-22 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0
2139,"0220-00004","1994-08-22 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0
2140,"0220-00005","1994-09-13 00:00:00",0,0,0,1,0,0,0,0,0,0,0,0
2141,"0220-00006","1994-09-13 00:00:00",0,0,0,0,0,1,0,0,0,0,0,0
2142,"0220-00007","1994-09-12 00:00:00",0,0,0,0,0,20,0,0,0,0,0,0
2143,"0220-00008","1994-09-12 00:00:00",0,1,1,0,3,1,0,0,0,0,0,0
2144,"0220-00009","1994-09-15 00:00:00",0,0,0,0,1,15,0,0,0,1,0,0
2145,"0220-00010","1994-09-15 00:00:00",0,0,0,0,1,1,0,0,0,0,0,0
2146,"0220-00011","1994-09-13 00:00:00",0,0,0,0,1,2,0,0,0,0,0,0
2147,"0220-00012","1994-09-15 00:00:00",0,0,1,21,4,12,0,0,0,0,0,0
2148,"0220-00013","1994-09-16 00:00:00",9,0,5,43,2,11,0,0,0,0,0,0
2149,"0220-00014","1994-09-16 00:00:00",0,0,0,2,0,0,0,0,0,0,0,0
2150,"0220-00015","1994-09-19 00:00:00",0,0,2,3,6,4,0,0,0,0,0,0
2151,"0220-00016","1994-09-20 00:00:00",1,0,0,5,6,1,0,0,0,0,0,0
2152,"0220-00017","1994-09-20 00:00:00",0,0,0,6,0,11,0,0,0,0,0,0
2153,"0220-00018","1994-09-20 00:00:00",0,0,0,14,2,2,0,0,0,0,0,0
2154,"0220-00019","1994-09-21 00:00:00",0,0,0,1,0,3,0,0,0,0,0,0
2155,"0220-00020","1994-09-19 00:00:00",0,0,1,5,1,2,0,0,0,0,0,0
2156,"0230-00001","1994-06-08 00:00:00",4,3,0,10,3,3,0,0,0,0,0,0
2157,"0230-00003","1994-06-08 00:00:00",0,0,0,0,0,1,0,0,0,0,0,0
2158,"0230-00005","1994-06-08 00:00:00",7,0,0,0,3,7,0,0,4,0,0,0
2159,"0230-00012","1994-06-10 00:00:00",0,0,0,21,1,2,0,0,0,0,0,0
2160,"0230-00014","1994-06-10 00:00:00",0,0,1,2,6,36,0,0,0,1,0,0
2161,"0230-00015","1994-06-10 00:00:00",1,0,0,5,2,11,0,0,0,0,0,0
2162,"0230-00016","1994-06-09 00:00:00",0,0,0,1,3,10,0,5,0,0,0,0
2163,"0230-00024","1994-06-09 00:00:00",0,0,0,1,1,58,0,0,0,2,0,0
2164,"0230-00025","1994-06-09 00:00:00",0,0,0,0,1,1,0,0,0,3,0,0
2165,"0230-00026","1994-06-09 00:00:00",0,0,0,0,1,5,0,0,0,0,0,0
2166,"0230-00027","1994-06-10 00:00:00",2,0,0,10,15,7,0,0,0,0,0,0
2167,"0230-00028","1994-06-13 00:00:00",0,1,0,3,1,5,0,0,0,0,0,0
2168,"0230-00029","1994-06-08 00:00:00",0,0,0,0,1,3,0,0,0,0,0,0
2169,"0250-00100","1994-09-06 00:00:00",0,0,4,3,7,0,0,0,0,0,0,0
2170,"0260-00002","1994-06-17 00:00:00",0,0,1,2,2,36,0,0,0,3,0,0
2171,"0260-00004","1994-06-17 00:00:00",0,0,0,2,2,208,0,0,0,1,0,0
2172,"0260-00006","1994-06-21 00:00:00",3,0,1,2,0,30,0,0,0,11,0,0
2173,"0260-00008","1994-06-23 00:00:00",0,0,0,0,1,0,0,0,0,4,0,0
2174,"0260-00010","1994-06-22 00:00:00",1,0,0,0,0,4,0,0,0,3,0,0
2175,"0260-00021","1994-06-20 00:00:00",5,1,9,14,0,110,0,0,0,1,0,0
2176,"0260-00022","1994-06-20 00:00:00",0,0,4,5,0,10,0,0,0,1,0,0
2177,"0260-00023","1994-06-20 00:00:00",0,0,6,10,4,5,0,0,0,2,0,0
2178,"0270-00031","1994-06-22 00:00:00",8,0,7,25,3,0,0,0,0,27,0,0
2179,"0270-00001","1994-08-09 00:00:00",0,0,0,0,11,4,0,0,0,0,0,0
2180,"0270-00003","1994-08-09 00:00:00",1,0,0,1,0,4,0,0,0,0,0,0
2181,"0270-00005","1994-08-08 00:00:00",0,0,0,2,12,47,0,0,0,0,0,0
2182,"0270-00008","1994-08-10 00:00:00",2,0,0,4,0,9,0,0,0,0,0,0
2183,"0270-00010","1994-08-10 00:00:00",1,0,2,0,2,12,0,0,0,0,0,0
2184,"0270-00013","1994-08-07 00:00:00",0,0,0,1,0,1,0,0,0,1,0,0
2185,"0270-00015","1994-08-11 00:00:00",1,0,0,4,5,3,0,0,0,0,0,0
2186,"0270-00017","1994-08-12 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0
2187,"0270-00019","1994-08-12 00:00:00",0,0,0,0,0,4,0,0,0,5,0,0
2188,"0270-00021","1994-08-08 00:00:00",0,0,0,1,1,0,0,0,0,0,0,0
2189,"0270-00022","1994-08-04 00:00:00",0,0,0,0,2,94,0,0,0,0,0,0
2190,"0270-00023","1994-08-04 00:00:00",1,0,2,0,0,20,0,0,0,0,0,0
2191,"0270-00024","1994-08-11 00:00:00",1,0,0,4,12,6,0,0,0,0,0,0
2192,"0270-00025","1994-08-15 00:00:00",0,0,0,0,1,10,0,0,0,0,0,0
2193,"0270-00026","1994-08-11 00:00:00",0,0,2,0,0,0,0,0,0,0,0,0
